keyword,Date,freq
crowded,2016-01-13,1
saints,2016-01-13,1
saints,2016-01-20,1
saints,2016-03-09,1
saints,2016-04-27,1
saints,2016-07-06,1
saints,2016-07-13,1
saints,2016-07-27,1
saints,2016-08-24,1
saints,2016-09-07,2
saints,2016-09-28,1
saints,2016-10-12,1
fc,2016-01-13,2
fc,2016-03-16,1
fc,2016-08-31,1
fc,2016-12-21,1
lost,2016-01-13,1
lost,2016-03-09,1
lost,2016-05-18,2
lost,2016-06-29,1
lost,2016-08-03,1
lost,2016-10-05,1
lost,2016-12-14,1
love,2016-01-13,2
love,2016-01-20,1
love,2016-01-27,2
love,2016-02-03,2
love,2016-02-10,1
love,2016-02-17,2
love,2016-02-24,1
love,2016-03-09,3
love,2016-03-30,2
love,2016-04-06,3
love,2016-04-13,3
love,2016-04-20,1
love,2016-04-27,1
love,2016-05-04,1
love,2016-05-18,1
love,2016-05-25,1
love,2016-06-01,1
love,2016-06-08,4
love,2016-06-15,1
love,2016-07-06,2
love,2016-07-13,3
love,2016-07-20,1
love,2016-07-27,1
love,2016-08-03,2
love,2016-08-10,1
love,2016-08-17,1
love,2016-08-24,2
love,2016-09-07,1
love,2016-09-21,1
love,2016-10-05,2
love,2016-10-12,1
love,2016-10-26,1
love,2016-11-02,1
love,2016-11-09,1
love,2016-11-16,1
love,2016-11-23,1
love,2016-12-28,3
next,2016-01-13,2
next,2016-02-03,1
next,2016-02-10,1
next,2016-02-17,1
next,2016-02-24,1
next,2016-03-09,2
next,2016-03-23,1
next,2016-03-30,1
next,2016-04-06,1
next,2016-04-13,1
next,2016-04-20,1
next,2016-04-27,1
next,2016-05-18,2
next,2016-05-25,1
next,2016-06-01,1
next,2016-06-08,1
next,2016-06-15,1
next,2016-06-29,1
next,2016-07-06,1
next,2016-07-20,2
next,2016-07-27,1
next,2016-08-03,1
next,2016-08-17,1
next,2016-08-24,1
next,2016-08-31,1
next,2016-09-14,1
next,2016-09-28,1
next,2016-10-05,3
next,2016-10-19,3
next,2016-10-26,1
next,2016-11-02,1
next,2016-11-09,2
next,2016-11-16,2
next,2016-11-23,1
next,2016-11-30,1
next,2016-12-14,1
chat,2016-01-13,10
chat,2016-01-20,8
chat,2016-01-27,7
chat,2016-02-03,8
chat,2016-02-10,9
chat,2016-02-17,11
chat,2016-02-24,6
chat,2016-03-02,12
chat,2016-03-09,6
chat,2016-03-16,11
chat,2016-03-23,11
chat,2016-03-30,9
chat,2016-04-06,10
chat,2016-04-13,9
chat,2016-04-20,10
chat,2016-04-27,10
chat,2016-05-04,7
chat,2016-05-11,7
chat,2016-05-18,9
chat,2016-05-25,7
chat,2016-06-01,7
chat,2016-06-08,13
chat,2016-06-15,8
chat,2016-06-22,5
