keyword,value
crowded,"(['2016-01-13'], 0)"
saints,"(['2016-09-07', '2016-01-20', '2016-10-12', '2016-08-24', '2016-09-28', '2016-03-09', '2016-01-13', '2016-07-27', '2016-07-13', '2016-04-27', '2016-07-06'], 273)"
fc,"(['2016-03-16', '2016-01-13', '2016-08-31', '2016-12-21'], 343)"
lost,"(['2016-06-29', '2016-03-09', '2016-01-13', '2016-05-18', '2016-10-05', '2016-08-03', '2016-12-14'], 336)"
love,"(['2016-09-07', '2016-10-12', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-02-24', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-10-05', '2016-04-27', '2016-01-20', '2016-08-24', '2016-02-10', '2016-05-18', '2016-08-03', '2016-12-28', '2016-04-06', '2016-07-20', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
next,"(['2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-11-23', '2016-11-02', '2016-06-29', '2016-02-24', '2016-02-17', '2016-06-08', '2016-10-26', '2016-05-25', '2016-07-27', '2016-10-05', '2016-04-27', '2016-12-14', '2016-08-24', '2016-02-10', '2016-03-23', '2016-05-18', '2016-08-03', '2016-11-30', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-10-19', '2016-11-16', '2016-06-15', '2016-07-06'], 336)"
chat,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
kb,"(['2016-10-12', '2016-09-14', '2016-09-28', '2016-02-17', '2016-02-10', '2016-01-27', '2016-01-13', '2016-04-20', '2016-05-04', '2016-03-16', '2016-12-07', '2016-03-02', '2016-07-06'], 329)"
tribe,"(['2016-11-02', '2016-10-12', '2016-08-31', '2016-09-14', '2016-09-28', '2016-02-17', '2016-02-10', '2016-01-27', '2016-01-13', '2016-03-23', '2016-04-20', '2016-06-01', '2016-02-03', '2016-12-07', '2016-05-04', '2016-10-05', '2016-03-16', '2016-10-19', '2016-03-02', '2016-07-06'], 329)"
chat,"(['2016-09-07', '2016-10-12', '2016-08-31', '2016-04-13', '2016-03-09', '2016-01-13', '2016-07-13', '2016-11-23', '2016-11-02', '2016-05-11', '2016-10-19', '2016-12-21', '2016-02-24', '2016-06-29', '2016-02-17', '2016-06-08', '2016-08-10', '2016-10-26', '2016-05-25', '2016-07-27', '2016-05-04', '2016-03-16', '2016-10-05', '2016-03-02', '2016-04-27', '2016-12-14', '2016-01-20', '2016-08-24', '2016-02-10', '2016-03-23', '2016-06-22', '2016-05-18', '2016-08-03', '2016-12-07', '2016-11-30', '2016-12-28', '2016-04-06', '2016-07-20', '2016-09-14', '2016-09-28', '2016-03-30', '2016-04-20', '2016-01-27', '2016-06-01', '2016-11-09', '2016-08-17', '2016-02-03', '2016-09-21', '2016-11-16', '2016-06-15', '2016-07-06'], 350)"
